Key,en,he,it,es,fr,ar
ext_app_settings_title,HO Settings,הגדרות HO,Impostazioni HO,Configuración de HO,Paramètres HO,إعدادات HO
ext_app_url_hint,☝️ <b>URL:</b> Enter the exact internal IP of your home server.<br>For example:<br><span dir="ltr">http://192.168.1.100:8123</span>,☝️ <b>כתובת:</b> הכנס את כתובת ה-IP הפנימית של שרת הבית שלך.<br>לדוגמה:<br><span dir="ltr" style="display:inline-block; margin-top:4px;">http://192.168.1.100:8123</span>,☝️ <b>URL:</b> Inserisci l'IP interno esatto del tuo server domestico.<br>Ad esempio:<br><span dir="ltr">http://192.168.1.100:8123</span>,☝️ <b>URL:</b> Introduce la IP interna exacta de tu servidor.<br>Por ejemplo:<br><span dir="ltr">http://192.168.1.100:8123</span>,☝️ <b>URL :</b> Entrez l'IP interne exacte de votre serveur.<br>Par exemple :<br><span dir="ltr">http://192.168.1.100:8123</span>,☝️ <b>الرابط:</b> أدخل عنوان IP الداخلي الدقيق لخادمك.<br>على سبيل المثال:<br><span dir="ltr">http://192.168.1.100:8123</span>
ext_app_token_hint,☝️ <b>Security Token:</b><br>In Home Assistant click your profile (bottom corner).<br>Select the tab:<br><b>Security</b><br>Scroll down until you find:<br><b>Long-Lived Access Tokens</b><br>Generate a new token and paste it here.,☝️ <b>טוקן אבטחה:</b><br>במערכת Home Assistant לחץ על הפרופיל שלך (למטה בצד).<br>בחר בלשונית:<br><span dir="ltr" style="font-weight:bold; color:var(--primary); display:inline-block; margin:4px 0;">Security</span><br>גלול למטה עד שתמצא:<br><span dir="ltr" style="font-weight:bold; color:var(--primary); display:inline-block; margin:4px 0;">Long-Lived Access Tokens</span><br>ייצר טוקן חדש והדבק אותו כאן.,☝️ <b>Token di sicurezza:</b><br>In Home Assistant fai clic sul tuo profilo.<br>Seleziona:<br><b>Sicurezza</b><br>Scorri fino a:<br><b>Token di accesso a lungo termine</b><br>Generane uno e incollalo qui.,☝️ <b>Token de seguridad:</b><br>En Home Assistant haz clic en tu perfil.<br>Selecciona:<br><b>Seguridad</b><br>Desplázate hasta:<br><b>Tokens de acceso de larga duración</b><br>Genera uno y pégalo aquí.,☝️ <b>Jeton de sécurité :</b><br>Dans Home Assistant cliquez sur votre profil.<br>Sélectionnez :<br><b>Sécurité</b><br>Faites défiler jusqu'à :<br><b>Jetons d'accès à longue durée de vie</b><br>Générez-en un et collez-le ici.,☝️ <b>رمز الأمان:</b><br>في Home Assistant انقر فوق ملف التعريف الخاص بك.<br>حدد:<br><b>الأمان</b><br>قم بالتمرير إلى:<br><b>رموز الوصول طويلة الأمد</b><br>قم بإنشاء واحد والصقه هنا.
ext_app_agent_id_label,Conversation Agent ID:,מזהה סוכן שיחה:,ID Agente Conversazione:,ID de Agente de Conversación:,ID de l'Agent de Conversation:,معرف وكيل المحادثة:
ext_app_agent_id_hint,☝️ <b>Agent:</b><br>This is the default value - no need to touch or change it!,☝️ <b>סוכן:</b><br>זהו ערך ברירת המחדל - אין צורך לגעת או לשנות!,☝️ <b>Agente:</b><br>Questo è il valore predefinito - non cambiarlo!,☝️ <b>Agente:</b><br>Este es el valor predeterminado ¡no lo cambies!,☝️ <b>Agent :</b><br>C'est la valeur par défaut - ne la changez pas !,☝️ <b>الوكيل:</b><br>هذه هي القيمة الافتراضية - لا تغيرها!
ext_app_device_id_label,HA Notify Device ID:,מזהה מכשיר התראות:,ID Dispositivo Notifiche HA:,ID de Dispositivo de Notificación HA:,ID d'appareil de notification HA:,معرف جهاز إعلام HA:
ext_app_device_id_hint,☝️ <b>Device ID:</b><br>Careful! This is NOT the phone's name!<br>In Home Assistant go to:<br><b>Settings ➔ Devices</b><br>Find your phone under Mobile App.<br>Look at the web browser's address bar (at the top)<br>and copy the long string of letters and numbers at the very end of the URL.,☝️ <b>מזהה מכשיר:</b><br>זהירות! זה לא השם של הנייד!<br>במערכת Home Assistant כנס אל:<br><span dir="ltr" style="font-weight:bold; color:var(--primary); display:inline-block; margin:4px 0;">Settings ➔ Devices</span><br>חפש את הנייד שלך תחת האפליקציה.<br>הסתכל בשורת הכתובת של הדפדפן (למעלה)<br>והעתק את רצף האותיות והמספרים שנמצא <b>ממש בסוף הלינק (ה-HTTP).</b>,☝️ <b>ID Dispositivo:</b><br>Attenzione! NON è il nome del telefono!<br>In HA vai su:<br><b>Impostazioni ➔ Dispositivi</b><br>Trova il tuo telefono.<br>Guarda la barra degli indirizzi del browser in alto<br>e copia la lunga stringa alla fine dell'URL.,☝️ <b>ID de Dispositivo:</b><br>¡Cuidado! ¡NO es el nombre del teléfono!<br>En HA ve a:<br><b>Configuración ➔ Dispositivos</b><br>Encuentra tu teléfono.<br>Mira la barra de direcciones del navegador en la parte superior<br>y copia la cadena larga al final de la URL.,☝️ <b>ID d'appareil :</b><br>Attention! Ce n'est PAS le nom du téléphone !<br>Dans HA allez dans :<br><b>Paramètres ➔ Appareils</b><br>Trouvez votre téléphone.<br>Regardez la barre d'adresse du navigateur en haut<br>et copiez la longue chaîne à la fin de l'URL.,☝️ <b>معرف الجهاز:</b><br>احذر! هذا ليس اسم الهاتف!<br>في HA انتقل إلى:<br><b>الإعدادات ➔ الأجهزة</b><br>ابحث عن هاتفك.<br>انظر إلى شريط عنوان المتصفح في الأعلى<br>وانسخ السلسلة الطويلة في نهاية الرابط.
ext_app_whatsapp_tip,💡 <b>Pro Tip:</b><br>The easiest way is to generate the Token and ID on your PC<br>send them to yourself via <b>WhatsApp</b><br>and then simply copy and paste them on your phone!,💡 <b>טיפ של אלופים:</b><br>הכי קל לייצר את הטוקן והמזהה במחשב<br>לשלוח לעצמך בהודעת <b>WhatsApp</b><br>ואז פשוט להעתיק ולהדביק בנייד!,💡 <b>Suggerimento Pro:</b><br>Genera il Token e l'ID sul PC<br>inviateli tramite <b>WhatsApp</b><br>e copiali sul telefono!,💡 <b>Consejo Pro:</b><br>Genera el Token y el ID en el PC<br>envíatelos por <b>WhatsApp</b><br>¡y cópialos en el teléfono!,💡 <b>Conseil de pro :</b><br>Générez le jeton et l'ID sur le PC<br>envoyez-les via <b>WhatsApp</b><br>et copiez-les sur le téléphone !,💡 <b>نصيحة للمحترفين:</b><br>قم بإنشاء الرمز والمعرف على جهاز الكمبيوتر<br>أرسلهما عبر <b>WhatsApp</b><br>وانسخهما على الهاتف!
ext_app_mic_source_label,Microphone Source:,מקור מיקרופון:,Sorgente Microfono:,Fuente de Micrófono:,Source du microphone:,مصدر الميكروفון:
ext_app_mic_bt_label,Use Bluetooth/External Mic,השתמש במיקרופון בלוטות'/חיצוני,Usa Microfono Bluetooth/Esterno,Usar Micrófono Bluetooth/Externo,Utiliser le micro Bluetooth/externe,استخدام ميكروفون بلوتوث/خارجي
ext_app_mic_bt_hint,👈 Leave this OFF (gray).,👈 להשאיר כבוי (אפור).,👈 Lascia spento (grigio).,👈 Déjalo APAGADO (gris).,👈 Laissez désactivé (gris).,👈 اتركه مغلقًا (رمادي).
ext_app_shake_label,Enable Shake to Speak,הפעל 'נער כדי לדבר',Abilita Scuoti per Parlare,Habilitar Agitar para Hablar,Activer Secouer pour parler,تمكين الاهتزاز للتحدث
ext_app_shake_hint,☝️ <b>Ghost Screen Magic:</b><br>MUST be turned ON (purple)!<br>This allows the app to listen in the background<br>and use Google's speech-to-text engine<br>to understand you with incredible accuracy!,☝️ <b>קסם מסך הרפאים:</b><br>חובה להדליק (סגול)!<br>זה מאפשר לאפליקציה להקשיב לך ברקע<br>ולהשתמש במנוע הדיבור של Google<br>כדי להבין אותך באחוזי דיוק מטורפים!,☝️ <b>Magia Schermo Fantasma:</b><br>DEVE essere acceso (viola)!<br>Permette di ascoltare in background usando Google per una precisione incredibile!,☝️ <b>Magia Pantalla Fantasma:</b><br>¡DEBE estar ENCENDIDO (morado)!<br>¡Permite escuchar en segundo plano usando Google para una precisión increíble!,☝️ <b>Magie Écran Fantôme :</b><br>DOIT être activé (violet) !<br>Permet d'écouter en arrière-plan avec Google pour une précision incroyable !,☝️ <b>سحر شاشة الشبح:</b><br>يجب تشغيله (أرجواني)!<br>يسمح بالاستماع في الخلفية باستخدام Google للحصول على دقة مذهلة!
ext_app_lang_label,Voice Assistant Language:,שפת עוזר קולי:,Lingua Assistente Vocale:,Idioma del Asistente de Voz:,Langue de l'assistant vocal:,لغة المساعد الصوتي:
ext_app_lang_hint,☝️ <b>Language:</b> Select the language you will speak to the system.,☝️ <b>שפה:</b> בחר את השפה שבה תדבר אל המערכת.,☝️ <b>Lingua:</b> Seleziona la lingua.,☝️ <b>Idioma:</b> Selecciona el idioma.,☝️ <b>Langue :</b> Sélectionnez la langue.,☝️ <b>اللغة:</b> حدد اللغة.
ext_app_vol_label,Assistant Volume Override (Works on Silent):,עקיפת עוצמת עוזר (עובד על שקט):,Override Volume Assistente:,Anulación de Volumen:,Remplacement du volume :,تجاوز مستوى الصوت:
ext_app_vol_hint,☝️ <b>Volume:</b> Adjust the volume.<br>The system will answer aloud even if the phone is on silent!,☝️ <b>עוצמה:</b> כוון את הווליום.<br>המערכת תענה לך בקול גם אם הנייד על שקט!,☝️ <b>Volume:</b> Il sistema risponderà ad alta voce anche in silenzioso!,☝️ <b>Volumen:</b> ¡El sistema responderá en voz alta incluso en silencio!,☝️ <b>Volume :</b> Le système répondra à haute voix même en silencieux !,☝️ <b>مستوى الصوت:</b> سيجيب النظام بصوت عالٍ حتى في الوضع الصامت!
ext_app_test_area,Voice Testing Area,אזור בדיקת קול,Area di Test Vocale,Área de Prueba de Voz,Zone de test vocal,منطقة اختبار الصوت
ext_app_test_stt,Test STT 🎤,בדיקת דיבור לטקסט 🎤,Test STT 🎤,Probar STT 🎤,Test STT 🎤,اختبار STT 🎤
ext_app_test_tts,Test TTS 📢,בדיקת טקסט לדיבור 📢,Test TTS 📢,Probar TTS 📢,Test TTS 📢,اختبار TTS 📢
ext_app_test_hint,☝️ <b>Testing:</b><br>Click to see that it hears you and speaks back.<br>(Leave logs turned off).,☝️ <b>בדיקה:</b><br>לחץ לראות שהיא שומעת אותך ומדברת חזרה.<br>(את הלוגים יש להשאיר כבויים).,☝️ <b>Test:</b><br>Clicca per vedere se ti sente e risponde (log spenti).,☝️ <b>Prueba:</b><br>Haz clic para ver si te escucha y responde (registros apagados).,☝️ <b>Test :</b><br>Cliquez pour voir s'il vous entend et répond (journaux désactivés).,☝️ <b>الاختبار:</b><br>انقر لترى ما إذا كان يسمعك ويرد عليك (السجلات مغلقة).
ext_app_save_btn,Save and Close,שמור וסגור,Salva e Chiudi,Guardar y Cerrar,Enregistrer et fermer,حفظ وإغلاق
ext_app_save_hint,☝️ <b>All Done:</b><br>Click here to save everything and you are ready to go!,☝️ <b>סיימנו:</b><br>לחץ כאן לשמור את הכל ואתה מוכן לעבודה!,☝️ <b>Finito:</b><br>Salva tutto e sei pronto!,☝️ <b>Listo:</b><br>¡Guarda todo y listo!,☝️ <b>Terminé :</b><br>Enregistrez tout et vous êtes prêt !,☝️ <b>انتهينا:</b><br>احفظ كل شيء وأنت جاهز!
ext_app_download_btn,📥 Download Android APK,📥 הורד אפליקציה לאנדרואיד,📥 Scarica APK Android,📥 Descargar APK de Android,📥 Télécharger l'APK Android,📥 تنزيل تطبيق Android
ext_app_close_btn,Close,סגור,Chiudi,Cerrar,Fermer,إغلاق
